feedback_id,user_id,restaurant_id,feedback_text,submitted_on,feedback_type,priority_level,admin_response,response_date,is_resolved
FDBK00089,3855,Panera_8718,"The service was too slow, please improve.",2022-11-12,Complaint,High,We are looking into this issue.,2022-11-12,True
FDBK00090,8786,P.F._67363,Loved the ambiance and the staff were friendly.,2023-03-05,Complaint,High,We are looking into this issue.,2023-03-05,True
FDBK00091,4949,Red_49446,Loved the ambiance and the staff were friendly.,2022-09-06,Suggestion,Medium,We are looking into this issue.,2022-12-22,True
FDBK00092,3098,P.F._32813,Loved the ambiance and the staff were friendly.,2023-03-28,Complaint,Medium,Thank you for your feedback.,2023-05-25,False
FDBK00093,9593,Olive_19381,Food quality was not as expected.,2020-08-03,Other,Medium,"Resolved, thank you for reaching out.",2022-07-12,False
FDBK00094,10343,P.F._46373,Food quality was not as expected.,2024-11-12,Praise,Medium,Thank you for your feedback.,2024-11-12,False
FDBK00095,4100,The_43530,Loved the ambiance and the staff were friendly.,2022-02-08,Suggestion,High,Thank you for your feedback.,2023-10-13,True
FDBK00096,5429,Texas_30807,Loved the ambiance and the staff were friendly.,2024-02-11,Inquiry,Low,Thank you for your feedback.,2024-02-11,False
FDBK00097,5441,Texas_22857,Food quality was not as expected.,2024-07-08,Praise,Low,Thank you for your feedback.,2024-07-08,True
FDBK00098,2453,Chipotle_66152,"The service was too slow, please improve.",2021-11-07,Other,Low,We are looking into this issue.,2023-10-25,False
FDBK00099,6347,Chipotle_36162,"Great service, but room for improvement.",2021-03-08,Complaint,Low,Thank you for your feedback.,2021-03-31,False
FDBK00100,7400,Buffalo_18604,"The service was too slow, please improve.",2023-07-31,Suggestion,Low,,2023-07-31,False
FDBK00101,9283,Chipotle_3242,"Great service, but room for improvement.",2023-01-25,Other,High,Thank you for your feedback.,2024-07-26,True
FDBK00102,9089,Buffalo_27264,Loved the ambiance and the staff were friendly.,2023-02-19,Praise,Low,,2023-02-19,False
FDBK00103,3999,Buffalo_89864,"Exceptional experience, highly recommend!",2020-12-18,Praise,High,We are looking into this issue.,2020-12-18,False
FDBK00104,11509,Texas_88407,"Exceptional experience, highly recommend!",2020-11-30,Complaint,Medium,,2022-11-06,True
FDBK00105,8689,Chipotle_67242,Loved the ambiance and the staff were friendly.,2024-12-17,Other,High,,2024-12-17,True
FDBK00106,10176,Olive_18571,"Exceptional experience, highly recommend!",2021-09-02,Inquiry,Low,Thank you for your feedback.,2021-09-02,False
FDBK00107,3772,P.F._58393,"Great service, but room for improvement.",2024-03-20,Complaint,High,"Resolved, thank you for reaching out.",2024-03-20,True
FDBK00108,9057,Texas_79227,"Great service, but room for improvement.",2023-04-02,Suggestion,Low,,2023-04-02,True
FDBK00109,11875,Buffalo_16164,Food quality was not as expected.,2020-11-18,Complaint,High,We are looking into this issue.,2021-01-12,False
FDBK00110,6138,Red_12066,Food quality was not as expected.,2020-05-19,Praise,Medium,"Resolved, thank you for reaching out.",2024-03-19,True
FDBK00111,8333,P.F._3843,"Exceptional experience, highly recommend!",2024-03-16,Inquiry,Low,"Resolved, thank you for reaching out.",2024-03-16,False
FDBK00112,10754,Olive_39731,"The service was too slow, please improve.",2022-10-18,Other,Low,,2022-10-18,False
FDBK00113,8439,Olive_6361,"Great service, but room for improvement.",2023-04-30,Inquiry,Low,"Resolved, thank you for reaching out.",2023-04-30,True
FDBK00114,2802,Outback_1795,"Exceptional experience, highly recommend!",2023-09-19,Suggestion,Low,We are looking into this issue.,2023-09-19,False
FDBK00115,5096,Olive_6081,"Great service, but room for improvement.",2021-04-22,Complaint,Low,We are looking into this issue.,2021-04-22,True
FDBK00116,5193,The_78350,Food quality was not as expected.,2021-04-06,Suggestion,Medium,We are looking into this issue.,2021-04-06,False
FDBK00117,3578,Chipotle_80622,"Great service, but room for improvement.",2021-04-14,Inquiry,Low,We are looking into this issue.,2021-04-14,False
FDBK00118,8312,Panera_26218,"Exceptional experience, highly recommend!",2020-06-07,Praise,Medium,"Resolved, thank you for reaching out.",2024-08-11,True
FDBK00119,7343,Panera_12588,Food quality was not as expected.,2021-09-16,Praise,High,,2021-09-16,False
FDBK00120,5954,Olive_17401,"Great service, but room for improvement.",2024-12-29,Other,Low,We are looking into this issue.,2024-12-29,False
FDBK00121,7441,Chili's_21529,"Exceptional experience, highly recommend!",2023-05-19,Praise,Medium,Thank you for your feedback.,2023-05-19,False
FDBK00122,11426,Buffalo_86474,"Exceptional experience, highly recommend!",2021-12-25,Suggestion,High,"Resolved, thank you for reaching out.",2023-08-02,True
FDBK00123,6061,Texas_16357,"The service was too slow, please improve.",2023-03-15,Other,Medium,We are looking into this issue.,2023-03-15,True
FDBK00124,8552,P.F._68903,Loved the ambiance and the staff were friendly.,2020-11-02,Inquiry,High,We are looking into this issue.,2021-09-30,False
FDBK00125,4707,Chipotle_74002,Loved the ambiance and the staff were friendly.,2023-01-08,Suggestion,High,We are looking into this issue.,2024-01-18,True
FDBK00126,7956,Olive_58031,Loved the ambiance and the staff were friendly.,2023-06-24,Inquiry,High,Thank you for your feedback.,2024-01-13,False
FDBK00127,11686,Chipotle_25652,"The service was too slow, please improve.",2020-04-29,Complaint,High,"Resolved, thank you for reaching out.",2021-04-09,True
FDBK00128,10579,P.F._56523,"The service was too slow, please improve.",2020-01-28,Inquiry,High,,2021-03-20,False
FDBK00129,8910,Olive_32731,Food quality was not as expected.,2024-09-19,Suggestion,High,"Resolved, thank you for reaching out.",2024-09-19,True
FDBK00130,4987,Olive_14761,Loved the ambiance and the staff were friendly.,2024-10-30,Inquiry,Medium,"Resolved, thank you for reaching out.",2024-10-30,False
FDBK00131,8744,Outback_83185,"Exceptional experience, highly recommend!",2024-11-02,Suggestion,Medium,We are looking into this issue.,2024-11-02,True
FDBK00132,11556,Outback_45055,"Exceptional experience, highly recommend!",2023-04-18,Complaint,High,"Resolved, thank you for reaching out.",2023-12-29,True
FDBK00133,2908,Chili's_44169,"The service was too slow, please improve.",2020-05-28,Praise,Low,"Resolved, thank you for reaching out.",2023-12-02,False
FDBK00134,11352,The_23150,Food quality was not as expected.,2021-05-14,Inquiry,Medium,,2023-07-19,True
FDBK00135,11119,Panera_40548,"The service was too slow, please improve.",2022-09-11,Inquiry,Medium,Thank you for your feedback.,2022-09-11,False
FDBK00136,8421,Chipotle_16642,Food quality was not as expected.,2021-09-15,Complaint,High,We are looking into this issue.,2022-01-17,True
FDBK00137,10302,Olive_24211,Food quality was not as expected.,2022-08-06,Inquiry,High,"Resolved, thank you for reaching out.",2022-08-06,False
FDBK00138,5468,Red_42906,Food quality was not as expected.,2020-04-26,Other,High,Thank you for your feedback.,2022-09-08,True
FDBK00139,2087,Olive_89981,"Great service, but room for improvement.",2023-12-11,Complaint,High,"Resolved, thank you for reaching out.",2023-12-11,False
FDBK00140,9394,Chili's_189,"The service was too slow, please improve.",2024-04-25,Praise,Medium,"Resolved, thank you for reaching out.",2024-04-25,False
FDBK00141,4583,Buffalo_65104,"The service was too slow, please improve.",2023-07-06,Suggestion,High,Thank you for your feedback.,2023-07-06,True
FDBK00142,11250,Red_30766,"Great service, but room for improvement.",2020-06-09,Suggestion,Medium,,2024-03-03,True
FDBK00143,3335,Olive_60821,"Exceptional experience, highly recommend!",2022-10-29,Inquiry,Medium,,2022-10-29,True
FDBK00144,2366,Olive_34271,Loved the ambiance and the staff were friendly.,2020-04-12,Complaint,Low,Thank you for your feedback.,2021-07-07,False
FDBK00145,2562,The_53740,"Exceptional experience, highly recommend!",2022-06-24,Other,Medium,,2022-06-24,False
FDBK00146,6557,Chipotle_83852,"Great service, but room for improvement.",2021-12-22,Complaint,High,We are looking into this issue.,2021-12-22,True
FDBK00147,11522,Buffalo_58914,"Great service, but room for improvement.",2020-05-17,Praise,Low,We are looking into this issue.,2024-01-28,False
FDBK00148,5773,Chipotle_26982,"The service was too slow, please improve.",2024-09-16,Praise,High,Thank you for your feedback.,2024-09-16,False
FDBK00149,6224,Texas_3117,Food quality was not as expected.,2022-08-22,Inquiry,Low,Thank you for your feedback.,2023-12-13,True
FDBK00150,5167,Red_46426,Loved the ambiance and the staff were friendly.,2024-12-19,Complaint,Medium,"Resolved, thank you for reaching out.",2024-12-19,True
FDBK00151,7055,Buffalo_41374,"Exceptional experience, highly recommend!",2020-10-30,Complaint,Medium,,2020-10-30,True
FDBK00152,9586,Texas_96247,Food quality was not as expected.,2020-10-02,Praise,Medium,,2022-04-17,False
FDBK00153,11402,Chipotle_99132,"Exceptional experience, highly recommend!",2023-01-02,Inquiry,Low,"Resolved, thank you for reaching out.",2023-01-02,True
FDBK00154,5667,Chipotle_8252,"The service was too slow, please improve.",2022-03-23,Inquiry,High,We are looking into this issue.,2022-03-23,False
FDBK00155,10187,The_510,Food quality was not as expected.,2023-03-13,Other,Low,Thank you for your feedback.,2023-03-13,False
FDBK00156,7279,Olive_31521,"Great service, but room for improvement.",2022-03-02,Complaint,Low,"Resolved, thank you for reaching out.",2022-03-02,True
FDBK00157,3631,Chipotle_42312,"Exceptional experience, highly recommend!",2020-05-23,Suggestion,Medium,Thank you for your feedback.,2022-05-01,False
FDBK00158,2208,Chili's_80999,"The service was too slow, please improve.",2020-11-28,Inquiry,Low,,2022-12-04,True
FDBK00159,3276,Red_33056,"Exceptional experience, highly recommend!",2022-03-05,Praise,Medium,"Resolved, thank you for reaching out.",2022-03-05,True
FDBK00160,5852,P.F._51033,"Great service, but room for improvement.",2020-08-31,Praise,Low,Thank you for your feedback.,2023-07-08,True
FDBK00161,4305,P.F._9013,"Exceptional experience, highly recommend!",2020-08-08,Inquiry,Medium,"Resolved, thank you for reaching out.",2024-08-12,False
FDBK00162,2584,Panera_46248,"Exceptional experience, highly recommend!",2023-01-07,Inquiry,Medium,We are looking into this issue.,2023-01-07,False
FDBK00163,6408,Buffalo_69974,Food quality was not as expected.,2022-10-06,Praise,Medium,"Resolved, thank you for reaching out.",2023-11-28,True
FDBK00164,2640,Outback_47095,Food quality was not as expected.,2022-08-16,Suggestion,Medium,We are looking into this issue.,2024-09-10,True
FDBK00165,2762,Texas_76707,"Exceptional experience, highly recommend!",2023-09-05,Complaint,Low,We are looking into this issue.,2023-09-05,False
FDBK00166,6605,Chipotle_48142,"Exceptional experience, highly recommend!",2021-07-06,Inquiry,High,"Resolved, thank you for reaching out.",2024-10-17,False
FDBK00167,8011,Texas_11657,"Great service, but room for improvement.",2023-11-26,Praise,High,We are looking into this issue.,2024-01-14,True
FDBK00168,9696,Outback_75805,"Exceptional experience, highly recommend!",2021-07-31,Complaint,Low,,2021-07-31,True
FDBK00169,10606,Chili's_56029,Food quality was not as expected.,2024-12-06,Inquiry,Medium,,2024-12-06,True
FDBK00170,8716,Outback_38785,Food quality was not as expected.,2024-04-27,Complaint,Low,,2024-04-27,False
FDBK00171,9577,P.F._59443,Food quality was not as expected.,2021-07-08,Inquiry,Medium,We are looking into this issue.,2021-11-09,False
FDBK00172,5584,Olive_2541,Loved the ambiance and the staff were friendly.,2023-06-11,Other,Low,We are looking into this issue.,2023-06-11,True
FDBK00173,3963,Panera_37698,Loved the ambiance and the staff were friendly.,2024-09-17,Suggestion,Medium,Thank you for your feedback.,2024-09-17,False
FDBK00174,7660,Chili's_66589,"Exceptional experience, highly recommend!",2023-02-21,Complaint,Low,,2024-02-27,True
FDBK00175,2842,Panera_55048,"Exceptional experience, highly recommend!",2023-01-07,Other,High,"Resolved, thank you for reaching out.",2023-03-18,True
FDBK00176,10293,Chili's_90619,"The service was too slow, please improve.",2023-08-12,Praise,High,Thank you for your feedback.,2024-06-21,True
FDBK00177,9017,Panera_3748,"Great service, but room for improvement.",2023-12-16,Complaint,Low,,2023-12-16,False
FDBK00178,3379,Red_9346,"Exceptional experience, highly recommend!",2020-12-15,Praise,Low,,2021-05-14,True
FDBK00179,10239,Texas_94717,"The service was too slow, please improve.",2022-05-22,Praise,Low,Thank you for your feedback.,2022-05-22,True
FDBK00180,4721,Buffalo_34554,Food quality was not as expected.,2023-09-28,Other,Medium,Thank you for your feedback.,2023-09-28,False
FDBK00181,5755,P.F._47423,Food quality was not as expected.,2024-05-25,Suggestion,High,We are looking into this issue.,2024-05-25,False
FDBK00182,2398,Panera_94028,"The service was too slow, please improve.",2020-05-29,Inquiry,High,,2022-02-21,False
FDBK00183,7722,Olive_73291,Loved the ambiance and the staff were friendly.,2024-01-10,Complaint,Medium,,2024-01-10,True
FDBK00184,5278,Chipotle_70222,"The service was too slow, please improve.",2024-09-14,Other,High,Thank you for your feedback.,2024-09-14,True
FDBK00185,9025,Chipotle_11662,Loved the ambiance and the staff were friendly.,2021-12-12,Suggestion,Low,,2023-08-20,False
FDBK00186,4073,Olive_75841,"The service was too slow, please improve.",2024-02-24,Other,Low,We are looking into this issue.,2024-08-20,True
FDBK00187,6561,Outback_975,"Exceptional experience, highly recommend!",2023-08-11,Complaint,High,We are looking into this issue.,2023-08-11,False
FDBK00188,10765,Chili's_129,"Great service, but room for improvement.",2022-05-16,Inquiry,Low,,2023-07-09,True
FDBK00189,3725,Texas_33427,Food quality was not as expected.,2021-11-20,Complaint,Low,We are looking into this issue.,2021-11-20,False
FDBK00190,2024,P.F._54733,Food quality was not as expected.,2023-10-04,Other,High,We are looking into this issue.,2024-03-07,False
FDBK00191,7310,Buffalo_99234,"Great service, but room for improvement.",2022-03-08,Suggestion,Medium,,2024-05-24,True
FDBK00192,10724,Olive_66981,Food quality was not as expected.,2024-11-25,Complaint,High,"Resolved, thank you for reaching out.",2024-11-25,False
FDBK00193,8268,Texas_72937,Food quality was not as expected.,2023-01-13,Suggestion,Medium,,2023-01-13,True
FDBK00194,6534,Buffalo_14174,"Exceptional experience, highly recommend!",2020-05-24,Praise,Low,"Resolved, thank you for reaching out.",2023-02-13,True
FDBK00195,9669,Panera_78448,"Great service, but room for improvement.",2022-09-27,Inquiry,High,"Resolved, thank you for reaching out.",2023-05-18,True
FDBK00196,11510,Panera_86038,"The service was too slow, please improve.",2020-07-28,Inquiry,Low,"Resolved, thank you for reaching out.",2023-07-06,False
FDBK00197,10835,Texas_39477,"Great service, but room for improvement.",2022-02-12,Suggestion,Low,,2022-02-12,False
FDBK00198,5145,Texas_5327,"Great service, but room for improvement.",2020-01-30,Suggestion,Low,"Resolved, thank you for reaching out.",2020-05-14,True
FDBK00199,8575,Buffalo_16994,Loved the ambiance and the staff were friendly.,2020-02-14,Praise,Medium,"Resolved, thank you for reaching out.",2023-09-08,False
FDBK00200,10918,Chili's_81029,"Great service, but room for improvement.",2022-12-08,Other,Low,Thank you for your feedback.,2023-02-12,True
FDBK00201,11338,Chipotle_59962,Food quality was not as expected.,2022-03-18,Suggestion,High,Thank you for your feedback.,2022-03-18,True
FDBK00202,11927,Panera_61708,Loved the ambiance and the staff were friendly.,2022-09-20,Other,Medium,Thank you for your feedback.,2022-09-20,False
FDBK00203,11425,Chipotle_5122,"Great service, but room for improvement.",2024-11-01,Other,Low,,2024-11-01,True
FDBK00204,11603,Chipotle_94052,Loved the ambiance and the staff were friendly.,2020-11-06,Suggestion,High,Thank you for your feedback.,2023-03-02,True
FDBK00205,9312,Red_21606,Food quality was not as expected.,2021-10-18,Complaint,High,We are looking into this issue.,2021-10-23,False
FDBK00206,8023,Chili's_5309,Loved the ambiance and the staff were friendly.,2023-07-29,Inquiry,Medium,"Resolved, thank you for reaching out.",2024-11-22,True
FDBK00207,5771,The_56910,"Great service, but room for improvement.",2022-05-22,Praise,Low,Thank you for your feedback.,2023-11-22,False
FDBK00208,6345,P.F._35423,"Great service, but room for improvement.",2023-03-15,Other,Low,We are looking into this issue.,2023-03-15,True
FDBK00209,11843,Chipotle_74372,"The service was too slow, please improve.",2021-06-12,Inquiry,Low,Thank you for your feedback.,2023-07-19,False
FDBK00210,8405,The_48580,"Exceptional experience, highly recommend!",2020-01-25,Other,Medium,"Resolved, thank you for reaching out.",2024-12-17,False
FDBK00211,6195,Red_76326,Food quality was not as expected.,2020-04-05,Praise,Low,Thank you for your feedback.,2022-11-01,True
FDBK00212,4032,Outback_36065,"The service was too slow, please improve.",2023-04-21,Other,Medium,We are looking into this issue.,2023-04-21,True
FDBK00213,5693,The_59070,Food quality was not as expected.,2024-11-17,Praise,Medium,Thank you for your feedback.,2024-11-17,False
FDBK00214,6899,Outback_39495,"Great service, but room for improvement.",2023-07-31,Praise,High,We are looking into this issue.,2023-07-31,True
